Timestamp,Direction,Expiration,Usage,Node Role,Node Abbrev,Full ID,Country,IP Address
4/19/2025 2:21,Inbound,62 sec,19KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:21,Inbound,62 sec,19KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.xxx.xxx.80;2001:470:1f13:e56;321:c99a:91a1:cd2c
4/19/2025 2:21,Inbound,62 sec,19KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:21,Outbound,5 min,8KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:21,Outbound,5 min,8KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.xxx.xxx
4/19/2025 2:21,Outbound,5 min,8KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.173.xxx
4/19/2025 2:22,Inbound,1896 ms,19KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.xxx.xxx
4/19/2025 2:22,Inbound,1896 ms,19KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:22,Inbound,1896 ms,19KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:22,Outbound,4 min,11KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:22,Outbound,4 min,11KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.xxx.xxx.71;2a03:4000:68:f64
4/19/2025 2:22,Outbound,4 min,11KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.173.xxx
4/19/2025 2:23,Inbound,7 min,5KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:23,Inbound,7 min,5KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.85.xxx
4/19/2025 2:23,Inbound,7 min,5KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.xxx.xxx.92
4/19/2025 2:23,Outbound,3 min,14KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:23,Outbound,3 min,14KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.xxx.xxx
4/19/2025 2:23,Outbound,3 min,14KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.xxx.xxx
4/19/2025 2:24,Inbound,6 min,7KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.xxx.xxx
4/19/2025 2:24,Inbound,6 min,7KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.xxx.xxx.80;2001:470:1f13:e56;321:c99a:91a1:cd2c
4/19/2025 2:24,Inbound,6 min,7KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:24,Outbound,2 min,16KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:24,Outbound,2 min,16KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:24,Outbound,2 min,16KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.173.xxx
4/19/2025 2:25,Inbound,5 min,9KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.xxx.xxx.131;2a03:4000:4f:c0d
4/19/2025 2:25,Inbound,5 min,9KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:25,Inbound,5 min,9KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.xxx.xxx.92
4/19/2025 2:25,Outbound,87 sec,18KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:25,Outbound,87 sec,18KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.xxx.xxx
4/19/2025 2:25,Outbound,87 sec,18KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.xxx.xxx.158
4/19/2025 2:26,Inbound,4 min,13KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:26,Inbound,4 min,13KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.85.xxx
4/19/2025 2:26,Inbound,4 min,13KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:26,Outbound,26 sec,20KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:26,Outbound,26 sec,20KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:26,Outbound,26 sec,20KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.173.xxx
4/19/2025 2:27,Inbound,3 min,15KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.xxx.xxx.131;2a03:4000:4f:c0d
4/19/2025 2:27,Inbound,3 min,15KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:27,Inbound,3 min,15KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.xxx.xxx
4/19/2025 2:27,Outbound,7 min,3KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:27,Outbound,7 min,3KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:27,Outbound,7 min,3KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.xxx.xxx
4/19/2025 2:28,Inbound,2 min,18KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:28,Inbound,2 min,18KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:28,Inbound,2 min,18KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.xxx.xxx.92
4/19/2025 2:28,Outbound,6 min,6KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:28,Outbound,6 min,6KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:28,Outbound,6 min,6KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.xxx.xxx.158
4/19/2025 2:29,Inbound,70 sec,21KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.xxx.xxx
4/19/2025 2:29,Inbound,70 sec,21KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:29,Inbound,70 sec,21KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.xxx.xxx
4/19/2025 2:29,Outbound,5 min,9KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:29,Outbound,5 min,9KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:29,Outbound,5 min,9KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.xxx.xxx.158
4/19/2025 2:30,Inbound,10 sec,21KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.xxx.xxx
4/19/2025 2:30,Inbound,10 sec,21KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.85.xxx
4/19/2025 2:30,Inbound,10 sec,21KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.xxx.xxx.92
4/19/2025 2:30,Outbound,4 min,11KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:30,Outbound,4 min,11KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:30,Outbound,4 min,11KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.xxx.xxx.158
4/19/2025 2:31,Inbound,7 min,4KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.xxx.xxx.131;2a03:4000:4f:c0d
4/19/2025 2:31,Inbound,7 min,4KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.xxx.xxx.80;2001:470:1f13:e56;321:c99a:91a1:cd2c
4/19/2025 2:31,Inbound,7 min,4KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:31,Outbound,3 min,14KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:31,Outbound,3 min,14KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.xxx.xxx.71;2a03:4000:68:f64
4/19/2025 2:31,Outbound,3 min,14KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.xxx.xxx
4/19/2025 2:32,Inbound,6 min,7KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.xxx.xxx
4/19/2025 2:32,Inbound,6 min,7KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:32,Inbound,6 min,7KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.xxx.xxx
4/19/2025 2:32,Outbound,2 min,17KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:32,Outbound,2 min,17KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.xxx.xxx
4/19/2025 2:32,Outbound,2 min,17KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.xxx.xxx.158
4/19/2025 2:33,Inbound,5 min,9KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:33,Inbound,5 min,9KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.xxx.xxx.80;2001:470:1f13:e56;321:c99a:91a1:cd2c
4/19/2025 2:33,Inbound,5 min,9KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:33,Outbound,88 sec,19KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:33,Outbound,88 sec,19KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.xxx.xxx
4/19/2025 2:33,Outbound,88 sec,19KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.126.xxx.xxx
4/19/2025 2:34,Inbound,4 min,13KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.xxx.xxx
4/19/2025 2:34,Inbound,4 min,13KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:34,Inbound,4 min,13KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.xxx.xxx.92
4/19/2025 2:34,Outbound,27 sec,21KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:34,Outbound,27 sec,21KiB,Participant,6Ekz,6Ekz2~oh3wb5JPYM02C7ri4yFWk5AvqI6KW5IeeTreY=,Germany,89.58.49.xxx
4/19/2025 2:34,Outbound,27 sec,21KiB,Endpoint,DNcw,DNcwdEBXnwNkO--aLqjKXi3BjL7tN7a8i-p4HSRUdUE=,Netherlands,194.xxx.xxx.158
4/19/2025 2:34,Outbound,8 min,1KiB,Participant,ItY7,ItY7Zu0r3kaMQPKwDAugeMVHuUZz0UzEUtmLbgmRtcA=,Moldova,176.123.xxx.xxx
4/19/2025 2:34,Outbound,8 min,1KiB,Endpoint,5cZB,5cZB2~mVEkllOTZYDykzWAbBiOonRo06vj1qQinB9iA=,Russian Federation,5.130.138.xxx
4/19/2025 2:35,Inbound,3 min,16KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:35,Inbound,3 min,16KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.85.xxx
4/19/2025 2:35,Inbound,3 min,16KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.xxx.xxx.92
4/19/2025 2:35,Outbound,7 min,4KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:35,Outbound,7 min,4KiB,Participant,ItY7,ItY7Zu0r3kaMQPKwDAugeMVHuUZz0UzEUtmLbgmRtcA=,Moldova,176.xxx.xxx.77
4/19/2025 2:35,Outbound,7 min,4KiB,Endpoint,5cZB,5cZB2~mVEkllOTZYDykzWAbBiOonRo06vj1qQinB9iA=,Russian Federation,5.xxx.xxx.162
4/19/2025 2:36,Inbound,2 min,18KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.216.176.xxx
4/19/2025 2:36,Inbound,2 min,18KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.xxx.xxx
4/19/2025 2:36,Inbound,2 min,18KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.69.xxx
4/19/2025 2:36,Outbound,6 min,6KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:36,Outbound,6 min,6KiB,Participant,ItY7,ItY7Zu0r3kaMQPKwDAugeMVHuUZz0UzEUtmLbgmRtcA=,Moldova,176.123.xxx.xxx
4/19/2025 2:36,Outbound,6 min,6KiB,Endpoint,5cZB,5cZB2~mVEkllOTZYDykzWAbBiOonRo06vj1qQinB9iA=,Russian Federation,5.130.xxx.xxx
4/19/2025 2:37,Inbound,59 sec,20KiB,Gateway,ANCv,ANCv~W9V7wf8J6m3tBNe-tPkTzWpx8QPmGNgeYeMG3g=,Germany,185.xxx.xxx.131;2a03:4000:4f:c0d
4/19/2025 2:37,Inbound,59 sec,20KiB,Participant,eq9H,eq9H1R~qEXcYUgNKhnnkCqPH7Heaf5y5c9tSQZvU8Ec=,France,62.210.85.xxx
4/19/2025 2:37,Inbound,59 sec,20KiB,Endpoint,Tl7k,Tl7kpn7j9OYPsZcLnbl1se~Me14MgPvHyfHaYCz0TPc=,Sweden,46.59.xxx.xxx
4/19/2025 2:37,Inbound,9 min,0B,Gateway,TC2h,TC2hl5lXa8Rom9jfVXZh7pOBuyHc1YZBSJKjWAAsltM=,Russian Federation,92.124.xxx.xxx
4/19/2025 2:37,Inbound,9 min,0B,Participant,m4~Q,m4~QRCQiq6mNUPDlw0fJG6CUec3h7275M18UzIusMcA=,Spain,79.116.45.xxx
4/19/2025 2:37,Inbound,9 min,0B,Endpoint,yuRK,yuRKelPQRe-JnPpIKaFspgjRtttuZJhJGkzkwQC3CHs=,Germany,5.45.109.xxx
4/19/2025 2:37,Outbound,5 min,9KiB,Gateway,Unknown,Unknown,Unknown,Unknown
4/19/2025 2:37,Outbound,5 min,9KiB,Participant,ItY7,ItY7Zu0r3kaMQPKwDAugeMVHuUZz0UzEUtmLbgmRtcA=,Moldova,176.123.xxx.xxx
4/19/2025 2:37,Outbound,5 min,9KiB,Endpoint,5cZB,5cZB2~mVEkllOTZYDykzWAbBiOonRo06vj1qQinB9iA=,Russian Federation,5.xxx.xxx.162
4/19/2025 2:38,Inbound,8 min,2KiB,Gateway,TC2h,TC2hl5lXa8Rom9jfVXZh7pOBuyHc1YZBSJKjWAAsltM=,Russian Federation,92.124.132.xxx
4/19/2025 2:38,Inbound,8 min,2KiB,Participant,m4~Q,m4~QRCQiq6mNUPDlw0fJG6CUec3h7275M18UzIusMcA=,Spain,79.116.45.xxx
4/19/2025 2:38,Inbound,8 min,2KiB,Endpoint,yuRK,yuRKelPQRe-JnPpIKaFspgjRtttuZJhJGkzkwQC3CHs=,Germany,5.xxx.xxx.122;2a03:4000:6:2784
4/19/2025 2:38,Outbound,4 min,11KiB,Gateway,Unknown,Unknown,Unknown,Unknown
